Total: 50

  8.01.01.01.000  |  BAHAN BANGUNAN DAN KONSTRUKSI  |  Barang Pakai Habis
  8.01.01.02.000  |  BAHAN KIMIA  |  Barang Pakai Habis
  8.01.01.03.000  |  BAHAN PELEDAK  |  Barang Pakai Habis
  8.01.01.04.000  |  BAHAN BAKAR DAN PELUMAS  |  Barang Pakai Habis
  8.01.01.05.000  |  BAHAN BAKU  |  Barang Pakai Habis
  8.01.01.06.000  |  BAHAN KIMIA NUKLIR  |  Barang Pakai Habis
  8.01.01.07.000  |  BARANG DALAM PROSES  |  Barang Pakai Habis
  8.01.01.99.000  |  BAHAN LAINNYA  |  Barang Pakai Habis
  8.01.02.01.000  |  SUKU CADANG ALAT ANGKUTAN  |  Barang Pakai Habis
  8.01.02.02.000  |  SUKU CADANG ALAT BESAR  |  Barang Pakai Habis
  8.01.02.03.000  |  SUKU CADANG ALAT KEDOKTERAN  |  Barang Pakai Habis
  8.01.02.04.000  |  SUKU CADANG ALAT LABORATORIUM  |  Barang Pakai Habis
  8.01.02.05.000  |  SUKU CADANG ALAT PEMANCAR  |  Barang Pakai Habis
  8.01.02.06.000  |  SUKU CADANG ALAT STUDIO DAN KOMUNIKASI  |  Barang Pakai Habis
  8.01.02.07.000  |  SUKU CADANG ALAT PERTANIAN  |  Barang Pakai Habis
  8.01.02.08.000  |  SUKU CADANG ALAT BENGKEL  |  Barang Pakai Habis
  8.01.02.99.000  |  SUKU CADANG LAINNYA  |  Barang Pakai Habis
  8.01.03.01.000  |  ALAT TULIS KANTOR  |  Barang Pakai Habis
  8.01.03.02.000  |  KERTAS DAN COVER  |  Barang Pakai Habis
  8.01.03.03.000  |  BAHAN CETAK  |  Barang Pakai Habis
  8.01.03.04.000  |  BAHAN KOMPUTER  |  Barang Pakai Habis
  8.01.03.05.000  |  PERABOT KANTOR  |  Barang Pakai Habis
  8.01.03.06.000  |  ALAT LISTRIK  |  Barang Pakai Habis
  8.01.03.07.000  |  PERLENGKAPAN DINAS  |  Barang Pakai Habis
  8.01.03.08.000  |  KAPORLAP DAN PERLENGKAPAN SATWA  |  Barang Pakai Habis
  8.01.03.09.000  |  ALAT/BAHAN UNTUK KEGIATAN KANTOR LAINNYA  |  Barang Pakai Habis
  8.01.04.01.000  |  OBAT  |  Barang Pakai Habis
  8.01.05.01.000  |  PERSEDIAAN UNTUK DIJUAL/DISERAHKAN KEPADA MASYARAKAT  |  Barang Pakai Habis
  8.01.06.01.000  |  PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA  |  Barang Pakai Habis
  8.01.07.01.000  |  NATURA  |  Barang Pakai Habis
  8.01.07.02.000  |  PAKAN  |  Barang Pakai Habis
  8.01.07.99.000  |  NATURA DAN PAKAN LAINNYA  |  Barang Pakai Habis
  8.01.08.01.000  |  PERSEDIAAN PENELITIAN BIOLOGI  |  Barang Pakai Habis
  8.02.01.01.000  |  KOMPONEN JEMBATAN BAJA  |  Barang Tak Habis Pakai
  8.02.01.02.000  |  KOMPONEN JEMBATAN PRATEKAN  |  Barang Tak Habis Pakai
  8.02.01.03.000  |  KOMPONEN PERALATAN  |  Barang Tak Habis Pakai
  8.02.01.04.000  |  KOMPONEN RAMBU-RAMBU  |  Barang Tak Habis Pakai
  8.02.01.05.000  |  ATTACHMENT  |  Barang Tak Habis Pakai
  8.02.01.99.000  |  KOMPONEN LAINNYA  |  Barang Tak Habis Pakai
  8.02.02.01.000  |  PIPA AIR BESI TUANG (DCI)  |  Barang Tak Habis Pakai
  8.02.02.02.000  |  PIPA ASBES SEMEN (ACP)  |  Barang Tak Habis Pakai
  8.02.02.03.000  |  PIPA BAJA  |  Barang Tak Habis Pakai
  8.02.02.04.000  |  PIPA BETON PRATEKAN  |  Barang Tak Habis Pakai
  8.02.02.05.000  |  PIPA FIBER GLASS  |  Barang Tak Habis Pakai
  8.02.02.06.000  |  PIPA PLASTIK PVC (UPVC)  |  Barang Tak Habis Pakai
  8.02.02.99.000  |  P I P A LAINNYA  |  Barang Tak Habis Pakai
  8.02.03.01.000  |  RAMBU-RAMBU  |  Barang Tak Habis Pakai
  8.03.01.01.000  |  KOMPONEN BEKAS  |  Barang Bekas Dipakai
  8.03.01.02.000  |  PIPA BEKAS  |  Barang Bekas Dipakai
  8.03.01.99.000  |  KOMPONEN BEKAS DAN PIPA BEKAS LAINNYA  |  Barang Bekas Dipakai
